test_view,protocol,method,class_index,class_name,recall,predicted_fraction,auroc
native16@pz,leave_one_view_out,bias,2,both_fists,0.35333333333333333,0.24348308374930672,0.6222994169335633
native16@pz,leave_one_view_out,bias,3,both_feet,0.739514348785872,0.5202440377149196,0.6836382961327774
native16@pz,leave_one_view_out,vector,0,left_fist,0.2838137472283814,0.10260676650027732,0.7593283826867318
native16@pz,leave_one_view_out,vector,1,right_fist,0.33184855233853006,0.14697726012201887,0.7300878696463172
native16@pz,leave_one_view_out,vector,2,both_fists,0.36,0.24514697726012202,0.6184544633325122
native16@pz,leave_one_view_out,vector,3,both_feet,0.7196467991169978,0.5052689961175818,0.6822745482789634
native32@car,none,identity,0,left_fist,0.6851441241685144,0.34775374376039936,0.8044057256064762
native32@car,none,identity,1,right_fist,0.732739420935412,0.3954520244037715,0.8037506620653808
native32@car,none,identity,2,both_fists,0.21555555555555556,0.100942872989462,0.7118748460211874
native32@car,none,identity,3,both_feet,0.32671081677704195,0.15585135884636717,0.7368179216744337
native32@car,view_specific,temperature,0,left_fist,0.6851441241685144,0.34775374376039936,0.7999563757068449
native32@car,view_specific,temperature,1,right_fist,0.732739420935412,0.3954520244037715,0.8034759666154558
native32@car,view_specific,temperature,2,both_fists,0.21555555555555556,0.100942872989462,0.704429662478443
native32@car,view_specific,temperature,3,both_feet,0.32671081677704195,0.15585135884636717,0.7382601586133595
native32@car,view_specific,bias,0,left_fist,0.48558758314855877,0.18857459789240155,0.7937686141250869
native32@car,view_specific,bias,1,right_fist,0.6302895322939867,0.2706600110926234,0.8076621936816757
native32@car,view_specific,bias,2,both_fists,0.5911111111111111,0.34941763727121466,0.7111883058224522
native32@car,view_specific,bias,3,both_feet,0.39514348785871967,0.1913477537437604,0.7396647861990024
native32@car,view_specific,vector,0,left_fist,0.48558758314855877,0.18801996672212978,0.7938850549075689
native32@car,view_specific,vector,1,right_fist,0.621380846325167,0.2701053799223516,0.8067262552924107
native32@car,view_specific,vector,2,both_fists,0.5911111111111111,0.35330005546311705,0.7058240946045824
native32@car,view_specific,vector,3,both_feet,0.39072847682119205,0.18857459789240155,0.7392265554737962
native32@car,leave_one_view_out,temperature,0,left_fist,0.6851441241685144,0.34775374376039936,0.7990396095461761
native32@car,leave_one_view_out,temperature,1,right_fist,0.732739420935412,0.3954520244037715,0.803403591766374
native32@car,leave_one_view_out,temperature,2,both_fists,0.21555555555555556,0.100942872989462,0.7028857682516219
native32@car,leave_one_view_out,temperature,3,both_feet,0.32671081677704195,0.15585135884636717,0.7374474695445998
native32@car,leave_one_view_out,bias,0,left_fist,0.4523281596452328,0.17637271214642264,0.7859310014563298
native32@car,leave_one_view_out,bias,1,right_fist,0.5902004454342984,0.2506932889628397,0.8070848397719534
native32@car,leave_one_view_out,bias,2,both_fists,0.6688888888888889,0.4387132556849695,0.7112523610084587
native32@car,leave_one_view_out,bias,3,both_feet,0.31346578366445915,0.13422074320576816,0.7387523505845802
native32@car,leave_one_view_out,vector,0,left_fist,0.4523281596452328,0.17748197448696618,0.7899965887770766
native32@car,leave_one_view_out,vector,1,right_fist,0.6057906458797327,0.2612312811980033,0.8071095130159587
native32@car,leave_one_view_out,vector,2,both_fists,0.6577777777777778,0.42872989462007766,0.7050751416605076
