held_out_reference,source_view,montage,condition,batch_size,repeat,topology_bias,raw_candidate_bias,source_oracle_bias,target_reference_labels_used
c1,native16@CP1,native16,balanced,128,3,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-0.5790505357582553, -1.9128166598554426, 1.6107108042881697]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,balanced,128,4,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-0.7118644708808859, -1.8125404867119845, 1.4962029260423828]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,skew_0.7_class_0,128,0,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-1.3317842259475605, -1.3488656124431304, 1.62950433545119]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,skew_0.7_class_0,128,1,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-1.2283974261048487, -1.313288490349085, 1.5081653718150536]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,skew_0.7_class_0,128,2,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-1.3451752265388048, -1.2334167172422912, 1.577497479252633]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,skew_0.7_class_0,128,3,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-1.2703201910667588, -1.2604973803779858, 1.63360927839305]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,skew_0.7_class_0,128,4,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-1.4712452658007642, -1.3112002638701865, 1.6103721479173778]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,skew_0.7_class_1,128,0,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-0.4093323779169346, -2.411827752651965, 1.6059850393127666]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,skew_0.7_class_1,128,1,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-0.40938172240912596, -2.429720039722139, 1.6326336969691058]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,skew_0.7_class_1,128,2,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-0.3378564201007755, -2.3634285065127356, 1.6408277253758186]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,skew_0.7_class_1,128,3,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-0.3053567437518317, -2.3982967780516065, 1.560150272150851]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,skew_0.7_class_1,128,4,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-0.4421384076110085, -2.3678858500200155, 1.5437421296491989]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,skew_0.7_class_2,128,0,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-0.5814493327920873, -1.8291298064633623, 1.3449540062824241]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
c1,native16@CP1,native16,skew_0.7_class_2,128,1,"[-0.9308835716507761, -1.5865939504609377, 1.7029268599952974]","[-0.755223990755406, -1.7635827810746258, 1.4084646180169471]","[-0.6839748067950486, -1.8225778747885555, 1.5751128569860262]",False
