probe_seed,comparison,dominant_class,class_name,metric,candidate,baseline,candidate_cluster_mean,baseline_cluster_mean,candidate_minus_baseline,ci_lower,ci_upper,confidence,n_resamples,n_repeats,n_reference_clusters,static_baseline_broadcast_across_repeats,direction,noninferiority_tolerance,point_improves,interval_confirms_improvement,point_within_tolerance,interval_confirms_noninferiority,material_harm_detected
21,severe_right_fist,1.0,right_fist,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.4296295262896825,0.4253485701345756,0.004280956155106962,0.0021366274289380534,0.006409256518504135,0.95,5000,20,32,True,higher,0.01,True,True,True,True,False
42,severe_right_fist,1.0,right_fist,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.43460851233609377,0.4356991890959282,-0.0010906767598343771,-0.0028202491481194064,0.0006999034894754841,0.95,5000,20,32,True,higher,0.01,False,False,True,True,False
21,severe_right_fist,1.0,right_fist,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.18777853260869565,0.126043823326432,0.061734709282263656,0.04575931137853694,0.07755369274068323,0.95,5000,20,32,True,lower,0.01,False,False,False,False,True
42,severe_right_fist,1.0,right_fist,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.08831020315734987,0.10192913216011039,-0.013618929002760516,-0.02404238375603863,-0.0028391792292097946,0.95,5000,20,32,True,lower,0.01,True,True,True,True,False
21,severe_both_fists,2.0,both_fists,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.1827459971152984,0.2628783282575776,-0.08013233114227925,-0.10231215553883032,-0.05510047350570904,0.95,5000,20,32,False,lower,0.0,True,True,True,True,False
42,severe_both_fists,2.0,both_fists,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.1839401400094508,0.27298732490760597,-0.08904718489815519,-0.11858996523845315,-0.05667436337412331,0.95,5000,20,32,False,lower,0.0,True,True,True,True,False
21,severe_both_fists,2.0,both_fists,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.42899642533643884,0.4290244349551415,-2.8009618702553968e-05,-0.0015156391530797139,0.0013923021399456603,0.95,5000,20,32,False,higher,0.01,False,False,True,True,False
42,severe_both_fists,2.0,both_fists,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.4362493260438233,0.43090384262853687,0.0053454834152864075,0.0025122639805469312,0.008191293699318494,0.95,5000,20,32,False,higher,0.01,True,True,True,True,False
21,severe_both_fists,2.0,both_fists,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.1926863354037267,0.21235739087301586,-0.019671055469289166,-0.025548236391476888,-0.013288624428485173,0.95,5000,20,32,False,lower,0.01,True,True,True,True,False
42,severe_both_fists,2.0,both_fists,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.0915943646480331,0.1264354188233264,-0.03484105417529332,-0.04393912423438579,-0.024401410994651505,0.95,5000,20,32,False,lower,0.01,True,True,True,True,False
21,severe_both_fists,2.0,both_fists,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.1827459971152984,0.1563889497341981,0.026357047381100295,-0.0004346200714201484,0.050883115234858,0.95,5000,20,32,True,lower,0.0,False,False,False,False,False
42,severe_both_fists,2.0,both_fists,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.1839401400094508,0.19068730921548682,-0.006747169206036016,-0.026010491037139274,0.011635053383728175,0.95,5000,20,32,True,lower,0.0,True,False,True,False,False
21,severe_both_fists,2.0,both_fists,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.42899642533643884,0.4253485701345756,0.0036478552018633487,0.0015181897402303333,0.005729687971769315,0.95,5000,20,32,True,higher,0.01,True,True,True,True,False
42,severe_both_fists,2.0,both_fists,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.4362493260438233,0.4356991890959282,0.0005501369478950917,-0.0012440398685516002,0.002410219601880603,0.95,5000,20,32,True,higher,0.01,True,False,True,True,False
21,severe_both_fists,2.0,both_fists,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.1926863354037267,0.126043823326432,0.0666425120772947,0.05103953696514839,0.08212001407220497,0.95,5000,20,32,True,lower,0.01,False,False,False,False,True
