target_view,montage,held_out_reference,method,class_index,class_name,car_recall,target_recall,absolute_recall_gap
native16@Fz,native16,fz,pooled_bias,3,both_feet,0.4106280193236715,0.17391304347826086,0.23671497584541062
native16@Fz,native16,fz,topology_ridge,0,left_fist,0.4523809523809524,0.319047619047619,0.13333333333333336
native16@Fz,native16,fz,topology_ridge,1,right_fist,0.34299516908212563,0.2222222222222222,0.12077294685990342
native16@Fz,native16,fz,topology_ridge,2,both_fists,0.4857142857142857,0.3476190476190476,0.1380952380952381
native16@Fz,native16,fz,topology_ridge,3,both_feet,0.4106280193236715,0.6521739130434783,0.24154589371980678
native16@Fz,native16,fz,logit_ridge,0,left_fist,0.4523809523809524,0.42857142857142855,0.023809523809523836
native16@Fz,native16,fz,logit_ridge,1,right_fist,0.34299516908212563,0.2898550724637681,0.0531400966183575
native16@Fz,native16,fz,logit_ridge,2,both_fists,0.4857142857142857,0.28095238095238095,0.20476190476190476
native16@Fz,native16,fz,logit_ridge,3,both_feet,0.4106280193236715,0.5024154589371981,0.09178743961352659
native16@Fz,native16,fz,combined_ridge,0,left_fist,0.4523809523809524,0.40476190476190477,0.047619047619047616
native16@Fz,native16,fz,combined_ridge,1,right_fist,0.34299516908212563,0.26570048309178745,0.07729468599033817
native16@Fz,native16,fz,combined_ridge,2,both_fists,0.4857142857142857,0.3047619047619048,0.18095238095238092
native16@Fz,native16,fz,combined_ridge,3,both_feet,0.4106280193236715,0.5314009661835749,0.12077294685990342
native16@Fz,native16,fz,oracle,0,left_fist,0.4523809523809524,0.43333333333333335,0.019047619047619035
native16@Fz,native16,fz,oracle,1,right_fist,0.34299516908212563,0.2946859903381642,0.0483091787439614
native16@Fz,native16,fz,oracle,2,both_fists,0.4857142857142857,0.29523809523809524,0.19047619047619047
native16@Fz,native16,fz,oracle,3,both_feet,0.4106280193236715,0.46859903381642515,0.05797101449275366
native16@Pz,native16,pz,identity,0,left_fist,0.7904761904761904,0.7,0.09047619047619049
native16@Pz,native16,pz,identity,1,right_fist,0.6135265700483091,0.48792270531400966,0.12560386473429946
native16@Pz,native16,pz,identity,2,both_fists,0.004761904761904762,0.02857142857142857,0.023809523809523808
native16@Pz,native16,pz,identity,3,both_feet,0.01932367149758454,0.3140096618357488,0.2946859903381643
native16@Pz,native16,pz,global_mean,0,left_fist,0.4523809523809524,0.4857142857142857,0.033333333333333326
native16@Pz,native16,pz,global_mean,1,right_fist,0.34299516908212563,0.34782608695652173,0.004830917874396101
native16@Pz,native16,pz,global_mean,2,both_fists,0.4857142857142857,0.4666666666666667,0.019047619047619035
native16@Pz,native16,pz,global_mean,3,both_feet,0.4106280193236715,0.42028985507246375,0.009661835748792258
native16@Pz,native16,pz,pooled_bias,0,left_fist,0.4523809523809524,0.45714285714285713,0.004761904761904745
native16@Pz,native16,pz,pooled_bias,1,right_fist,0.34299516908212563,0.3285024154589372,0.014492753623188415
native16@Pz,native16,pz,pooled_bias,2,both_fists,0.4857142857142857,0.49047619047619045,0.004761904761904745
native16@Pz,native16,pz,pooled_bias,3,both_feet,0.4106280193236715,0.42995169082125606,0.01932367149758457
native16@Pz,native16,pz,topology_ridge,0,left_fist,0.4523809523809524,0.3904761904761905,0.06190476190476191
native16@Pz,native16,pz,topology_ridge,1,right_fist,0.34299516908212563,0.2463768115942029,0.09661835748792272
native16@Pz,native16,pz,topology_ridge,2,both_fists,0.4857142857142857,0.45714285714285713,0.02857142857142858
native16@Pz,native16,pz,topology_ridge,3,both_feet,0.4106280193236715,0.5652173913043478,0.1545893719806763
native16@Pz,native16,pz,logit_ridge,0,left_fist,0.4523809523809524,0.48095238095238096,0.02857142857142858
native16@Pz,native16,pz,logit_ridge,1,right_fist,0.34299516908212563,0.3285024154589372,0.014492753623188415
native16@Pz,native16,pz,logit_ridge,2,both_fists,0.4857142857142857,0.4714285714285714,0.01428571428571429
native16@Pz,native16,pz,logit_ridge,3,both_feet,0.4106280193236715,0.42995169082125606,0.01932367149758457
native16@Pz,native16,pz,combined_ridge,0,left_fist,0.4523809523809524,0.48095238095238096,0.02857142857142858
native16@Pz,native16,pz,combined_ridge,1,right_fist,0.34299516908212563,0.32367149758454106,0.01932367149758457
native16@Pz,native16,pz,combined_ridge,2,both_fists,0.4857142857142857,0.4666666666666667,0.019047619047619035
native16@Pz,native16,pz,combined_ridge,3,both_feet,0.4106280193236715,0.4444444444444444,0.03381642512077293
native16@Pz,native16,pz,oracle,0,left_fist,0.4523809523809524,0.48095238095238096,0.02857142857142858
native16@Pz,native16,pz,oracle,1,right_fist,0.34299516908212563,0.32367149758454106,0.01932367149758457
native16@Pz,native16,pz,oracle,2,both_fists,0.4857142857142857,0.48095238095238096,0.004761904761904745
native16@Pz,native16,pz,oracle,3,both_feet,0.4106280193236715,0.4396135265700483,0.02898550724637683
native32@C1,native32,c1,identity,0,left_fist,0.680952380952381,0.5095238095238095,0.17142857142857149
native32@C1,native32,c1,identity,1,right_fist,0.5748792270531401,0.642512077294686,0.06763285024154586
native32@C1,native32,c1,identity,2,both_fists,0.23809523809523808,0.21428571428571427,0.023809523809523808
native32@C1,native32,c1,identity,3,both_feet,0.3526570048309179,0.4444444444444444,0.09178743961352653
native32@C1,native32,c1,global_mean,0,left_fist,0.46190476190476193,0.3333333333333333,0.12857142857142861
native32@C1,native32,c1,global_mean,1,right_fist,0.4830917874396135,0.5024154589371981,0.01932367149758457
native32@C1,native32,c1,global_mean,2,both_fists,0.6904761904761905,0.6666666666666666,0.023809523809523836
native32@C1,native32,c1,global_mean,3,both_feet,0.41545893719806765,0.4251207729468599,0.009661835748792258
native32@C1,native32,c1,pooled_bias,0,left_fist,0.46190476190476193,0.3238095238095238,0.1380952380952381
native32@C1,native32,c1,pooled_bias,1,right_fist,0.4830917874396135,0.4975845410628019,0.014492753623188415
native32@C1,native32,c1,pooled_bias,2,both_fists,0.6904761904761905,0.6761904761904762,0.014285714285714235
native32@C1,native32,c1,pooled_bias,3,both_feet,0.41545893719806765,0.41545893719806765,0.0
native32@C1,native32,c1,topology_ridge,0,left_fist,0.46190476190476193,0.37142857142857144,0.09047619047619049
native32@C1,native32,c1,topology_ridge,1,right_fist,0.4830917874396135,0.4975845410628019,0.014492753623188415
native32@C1,native32,c1,topology_ridge,2,both_fists,0.6904761904761905,0.6714285714285714,0.01904761904761909
native32@C1,native32,c1,topology_ridge,3,both_feet,0.41545893719806765,0.4057971014492754,0.009661835748792258
native32@C1,native32,c1,logit_ridge,0,left_fist,0.46190476190476193,0.4142857142857143,0.047619047619047616
native32@C1,native32,c1,logit_ridge,1,right_fist,0.4830917874396135,0.5120772946859904,0.028985507246376885
native32@C1,native32,c1,logit_ridge,2,both_fists,0.6904761904761905,0.6476190476190476,0.042857142857142816
native32@C1,native32,c1,logit_ridge,3,both_feet,0.41545893719806765,0.3864734299516908,0.02898550724637683
native32@C1,native32,c1,combined_ridge,0,left_fist,0.46190476190476193,0.4238095238095238,0.038095238095238126
native32@C1,native32,c1,combined_ridge,1,right_fist,0.4830917874396135,0.5120772946859904,0.028985507246376885
native32@C1,native32,c1,combined_ridge,2,both_fists,0.6904761904761905,0.6476190476190476,0.042857142857142816
native32@C1,native32,c1,combined_ridge,3,both_feet,0.41545893719806765,0.3864734299516908,0.02898550724637683
native32@C1,native32,c1,oracle,0,left_fist,0.46190476190476193,0.4142857142857143,0.047619047619047616
native32@C1,native32,c1,oracle,1,right_fist,0.4830917874396135,0.5120772946859904,0.028985507246376885
native32@C1,native32,c1,oracle,2,both_fists,0.6904761904761905,0.6523809523809524,0.03809523809523807
native32@C1,native32,c1,oracle,3,both_feet,0.41545893719806765,0.391304347826087,0.024154589371980673
native32@C2,native32,c2,identity,0,left_fist,0.680952380952381,0.6571428571428571,0.023809523809523836
native32@C2,native32,c2,identity,1,right_fist,0.5748792270531401,0.5120772946859904,0.0628019323671497
native32@C2,native32,c2,identity,2,both_fists,0.23809523809523808,0.20952380952380953,0.028571428571428553
native32@C2,native32,c2,identity,3,both_feet,0.3526570048309179,0.47342995169082125,0.12077294685990336
native32@C2,native32,c2,global_mean,0,left_fist,0.46190476190476193,0.45714285714285713,0.0047619047619048005
native32@C2,native32,c2,global_mean,1,right_fist,0.4830917874396135,0.4251207729468599,0.0579710144927536
native32@C2,native32,c2,global_mean,2,both_fists,0.6904761904761905,0.6476190476190476,0.042857142857142816
native32@C2,native32,c2,global_mean,3,both_feet,0.41545893719806765,0.4975845410628019,0.08212560386473428
native32@C2,native32,c2,pooled_bias,0,left_fist,0.46190476190476193,0.44285714285714284,0.01904761904761909
native32@C2,native32,c2,pooled_bias,1,right_fist,0.4830917874396135,0.4251207729468599,0.0579710144927536
native32@C2,native32,c2,pooled_bias,2,both_fists,0.6904761904761905,0.6571428571428571,0.033333333333333326
