target_view,montage,held_out_reference,method,n_bias_fit_subjects,n_evaluation_subjects,n_training_views,target_reference_labels_used,target_bias_rmse,car_anchor_balanced_accuracy,max_class_recall_gap_to_car,mean_class_recall_gap_to_car,prediction_disagreement_from_identity,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,nll,ece_15,worst_class_recall
native32@FC2,native32,fc2,global_mean,10,9,48,False,0.46912009684044526,0.5127329192546584,0.11428571428571432,0.08008971704623878,0.35611510791366907,0.5167865707434053,0.5163561076604555,0.5178268376602418,0.7552770983942322,1.3260928344342557,0.1688017395488634,0.4444444444444444
native32@FC2,native32,fc2,pooled_bias,10,9,48,False,0.44600342143398614,0.5127329192546584,0.09999999999999998,0.07415458937198066,0.36810551558752996,0.5179856115107914,0.5175638371290545,0.5191583646471514,0.7553593550804649,1.3321604614695208,0.16950773197018446,0.4444444444444444
native32@FC2,native32,fc2,topology_ridge,10,9,48,False,0.15310165339050766,0.5127329192546584,0.052380952380952306,0.03831953071083502,0.41127098321342925,0.5179856115107914,0.517512077294686,0.519391008452038,0.7546162542908823,1.3379179002525892,0.1770003578291064,0.4492753623188406
native32@FC2,native32,fc2,logit_ridge,10,9,48,False,0.012999689540159953,0.5127329192546584,0.03864734299516909,0.0323671497584541,0.42565947242206237,0.5167865707434053,0.5163561076604555,0.5193104987069501,0.7534904367498761,1.3481277063399348,0.17893013910538802,0.45410628019323673
native32@FC2,native32,fc2,combined_ridge,10,9,48,False,0.02406803680788172,0.5127329192546584,0.03864734299516909,0.031176673567977917,0.42565947242206237,0.5179856115107914,0.5175465838509317,0.5202874385450607,0.7536020645967729,1.3475553176757447,0.1801992690437578,0.45410628019323673
native32@FC2,native32,fc2,oracle,10,9,48,True,0.0,0.5127329192546584,0.04347826086956519,0.03238440303657693,0.42565947242206237,0.5167865707434053,0.5163733609385783,0.5192027880653882,0.7533346901160116,1.3499189363107167,0.18061287550779306,0.45893719806763283
native32@FC3,native32,fc3,identity,10,9,48,False,1.1223249174635663,0.4616459627329193,0.2285714285714286,0.131832298136646,0.0,0.4520383693045564,0.45300207039337476,0.43800874508540555,0.7373049612001271,1.4546486149128455,0.2571526890516626,0.18571428571428572
native32@FC3,native32,fc3,global_mean,10,9,48,False,0.5948607689264908,0.5127329192546584,0.1523809523809524,0.059730848861283645,0.39568345323741005,0.47721822541966424,0.47715665976535543,0.4741715670160829,0.7409238559982267,1.4701759524685496,0.21695844594225777,0.30952380952380953
native32@FC3,native32,fc3,pooled_bias,10,9,48,False,0.6230998117889723,0.5127329192546584,0.15714285714285714,0.058540372670807445,0.4088729016786571,0.47601918465227816,0.47593167701863354,0.4727144471034983,0.7407192417454145,1.488347265348735,0.2197642665661065,0.3047619047619048
native32@FC3,native32,fc3,topology_ridge,10,9,48,False,0.11195158193895918,0.5127329192546584,0.080952380952381,0.03949275362318842,0.3932853717026379,0.4856115107913669,0.4853174603174603,0.4860439640104505,0.7454402968418986,1.3707209023070033,0.20475698415794868,0.38095238095238093
native32@FC3,native32,fc3,logit_ridge,10,9,48,False,0.0628894008216998,0.5127329192546584,0.0761904761904762,0.04073498964803311,0.40167865707434053,0.4844124700239808,0.48407522429261557,0.4849923045664977,0.7459305224608428,1.3675125409247577,0.20436004772208685,0.38571428571428573
native32@FC3,native32,fc3,combined_ridge,10,9,48,False,0.06133123288095051,0.5127329192546584,0.0761904761904762,0.03712905452035886,0.4040767386091127,0.4832134292565947,0.48285024154589373,0.48363160034174923,0.7459672674346588,1.3679830517562406,0.20326531078257656,0.38571428571428573
native32@FC3,native32,fc3,oracle,10,9,48,True,0.0,0.5127329192546584,0.06666666666666671,0.03828502415458937,0.39448441247002397,0.47961630695443647,0.4792788129744652,0.48055545892027407,0.7463033048452098,1.356193978164041,0.20396465613917336,0.3952380952380952
