held_out_reference,batch_size,prior_match_mse_from_source_subjects,nested_topology_mse,prior_match_weight,topology_weight,n_source_views,n_random_source_resamples,target_reference_labels_used
o1,256,0.006054643748557108,0.03178365147643955,0.8399863494759853,0.16001365052401473,47,20,False
o1,450,5.7179327728347704e-05,0.03178365147643955,0.9982042137003264,0.0017957862996735852,47,1,False
o2,16,0.14276606832060265,0.03127377668027528,0.1796932000262211,0.8203067999737789,47,20,False
o2,32,0.06844658316067882,0.03127377668027528,0.31361475961533253,0.6863852403846675,47,20,False
o2,64,0.022479684923817328,0.03127377668027528,0.5818002366175837,0.41819976338241627,47,20,False
o2,128,0.013413145089235752,0.03127377668027528,0.699841820423011,0.300158179576989,47,20,False
o2,256,0.006072707750885433,0.03127377668027528,0.8373954645696567,0.16260453543034326,47,20,False
o2,450,5.725107099099616e-05,0.03127377668027528,0.998172703703003,0.0018272962969969608,47,1,False
p3,16,0.14223381567375856,0.02787394270710723,0.1638605021453423,0.8361394978546577,47,20,False
p3,32,0.06831892269657551,0.02787394270710723,0.2897714148563047,0.7102285851436954,47,20,False
p3,64,0.022375012174680436,0.02787394270710723,0.5547168647125419,0.4452831352874581,47,20,False
p3,128,0.013371846986728093,0.02787394270710723,0.6758009220823168,0.3241990779176832,47,20,False
p3,256,0.006041816672303982,0.02787394270710723,0.8218581337155108,0.17814186628448925,47,20,False
p3,450,5.714727305037423e-05,0.02787394270710723,0.9979539905857246,0.0020460094142753515,47,1,False
p4,16,0.14207157851796065,0.029214128930277777,0.17055789047142839,0.8294421095285716,47,20,False
p4,32,0.06843989084923809,0.029214128930277777,0.2991595122887691,0.7008404877112309,47,20,False
p4,64,0.022396639833834282,0.029214128930277777,0.5660471570148756,0.4339528429851244,47,20,False
p4,128,0.01346611703702991,0.029214128930277777,0.6844882982318163,0.31551170176818366,47,20,False
p4,256,0.0060593521031989325,0.029214128930277777,0.8282179153951879,0.17178208460481215,47,20,False
p4,450,5.7250199752881644e-05,0.029214128930277777,0.9980441577590669,0.0019558422409331477,47,1,False
po3,16,0.1425143530963206,0.028783444984744166,0.16803161107256454,0.8319683889274354,47,20,False
po3,32,0.06842058753409007,0.028783444984744166,0.29611369239405877,0.7038863076059412,47,20,False
po3,64,0.022411977223708177,0.028783444984744166,0.5622269285630002,0.43777307143699984,47,20,False
po3,128,0.013442917712755072,0.028783444984744166,0.6816463258022647,0.3183536741977353,47,20,False
po3,256,0.006043378553225633,0.028783444984744166,0.8264734495054691,0.17352655049453092,47,20,False
po3,450,5.71759628410115e-05,0.028783444984744166,0.9980175197009481,0.001982480299051903,47,1,False
po4,16,0.141841504515721,0.02880089862167041,0.16877926055976597,0.831220739440234,47,20,False
po4,32,0.06833872280113,0.02880089862167041,0.2964897144936816,0.7035102855063184,47,20,False
po4,64,0.022458814344871965,0.02880089862167041,0.5618622687268848,0.43813773127311517,47,20,False
po4,128,0.013438677685363151,0.02880089862167041,0.6818462953397239,0.31815370466027615,47,20,False
po4,256,0.006061412331224137,0.02880089862167041,0.8261328017120199,0.17386719828798014,47,20,False
po4,450,5.7224616763830945e-05,0.02880089862167041,0.9980170360944464,0.0019829639055536363,47,1,False
pz,16,0.14450213609173765,0.02985191642411652,0.17121435374381136,0.8287856462561887,46,20,False
pz,32,0.06951055540126516,0.02985191642411652,0.30043451894572315,0.6995654810542768,46,20,False
pz,64,0.02248211309050295,0.02985191642411652,0.5704111970926568,0.42958880290734325,46,20,False
pz,128,0.013572968522021375,0.02985191642411652,0.6874380084401692,0.3125619915598308,46,20,False
pz,256,0.006126952677637673,0.02985191642411652,0.8297069132353873,0.17029308676461274,46,20,False
pz,450,5.760392795163663e-05,0.02985191642411652,0.9980740604572198,0.0019259395427801973,46,1,False
