held_out_reference,batch_size,prior_match_mse_from_source_subjects,nested_topology_mse,prior_match_weight,topology_weight,n_source_views,n_random_source_resamples,target_reference_labels_used
o2,64,0.09826099574718646,0.0698989345221857,0.4156693833674642,0.5843306166325358,47,20,False
o2,128,0.06276257088493227,0.0698989345221857,0.5268968892496471,0.47310311075035294,47,20,False
o2,256,0.057998309767391384,0.0698989345221857,0.5465241640697498,0.4534758359302502,47,20,False
o2,450,0.051852609194546366,0.0698989345221857,0.5741112793182567,0.4258887206817433,47,1,False
p3,16,0.3456582604324095,0.06666001266371681,0.1616712549826186,0.8383287450173814,47,20,False
p3,32,0.13629334768017176,0.06666001266371681,0.3284499086428855,0.6715500913571145,47,20,False
p3,64,0.09860513873859775,0.06666001266371681,0.40335189904278407,0.596648100957216,47,20,False
p3,128,0.0631368844606792,0.06666001266371681,0.5135716965547377,0.48642830344526233,47,20,False
p3,256,0.0581948671119025,0.06666001266371681,0.53389993874099,0.46610006125901005,47,20,False
p3,450,0.05201818881085255,0.06666001266371681,0.5616870818353349,0.4383129181646651,47,1,False
p4,16,0.34407513415288893,0.0655022695903048,0.15992647297353085,0.8400735270264692,47,20,False
p4,32,0.13625476811940873,0.0655022695903048,0.32465915605159196,0.6753408439484081,47,20,False
p4,64,0.09851013868135206,0.0655022695903048,0.3993738661639073,0.6006261338360928,47,20,False
p4,128,0.06316888808692554,0.0655022695903048,0.5090672282176574,0.4909327717823426,47,20,False
p4,256,0.05839881124584866,0.0655022695903048,0.5286658449487206,0.4713341550512794,47,20,False
p4,450,0.052201912561549595,0.0655022695903048,0.5564990843383795,0.44350091566162053,47,1,False
po3,16,0.34432131272765737,0.06523730128416963,0.1592868494331943,0.8407131505668057,47,20,False
po3,32,0.13584015504702432,0.06523730128416963,0.3244386639580198,0.6755613360419802,47,20,False
po3,64,0.0982594960177454,0.06523730128416963,0.39901271682834066,0.6009872831716594,47,20,False
po3,128,0.06281563966317422,0.06523730128416963,0.5094557048166165,0.4905442951833835,47,20,False
po3,256,0.05791306797693928,0.06523730128416963,0.5297369522770216,0.47026304772297844,47,20,False
po3,450,0.051780199402465275,0.06523730128416963,0.5575003815785707,0.44249961842142926,47,1,False
po4,16,0.34266367749658677,0.06533539110162702,0.16013612807034985,0.8398638719296502,47,20,False
po4,32,0.1359669092883295,0.06533539110162702,0.3245635592591905,0.6754364407408096,47,20,False
po4,64,0.09840957778700664,0.06533539110162702,0.39900701404794287,0.6009929859520571,47,20,False
po4,128,0.06297513406139174,0.06533539110162702,0.5091974412747378,0.49080255872526224,47,20,False
po4,256,0.05824689531809349,0.06533539110162702,0.5286792548871405,0.4713207451128595,47,20,False
po4,450,0.052062595970186566,0.06533539110162702,0.556529057535379,0.44347094246462104,47,1,False
pz,16,0.34921415726488,0.06794654427490161,0.16287858377863534,0.8371214162213647,46,20,False
pz,32,0.1375772968357782,0.06794654427490161,0.33060176331713587,0.6693982366828641,46,20,False
pz,64,0.09978960281026758,0.06794654427490161,0.4050799154245583,0.5949200845754417,46,20,False
pz,128,0.06387519036819557,0.06794654427490161,0.5154426503251877,0.48455734967481234,46,20,False
pz,256,0.05908347090628602,0.06794654427490161,0.5348857447429801,0.4651142552570199,46,20,False
pz,450,0.052792205954201865,0.06794654427490161,0.5627567300967758,0.43724326990322415,46,1,False
