probe_seed,test_view,true_class,predicted_class,car_fraction,shifted_fraction,fraction_change
42,cz,both_feet,left_fist,0.16556291390728478,0.05077262693156733,-0.11479028697571744
42,cz,both_feet,right_fist,0.05518763796909492,0.0706401766004415,0.015452538631346581
42,cz,both_feet,both_fists,0.1456953642384106,0.22958057395143489,0.0838852097130243
42,cz,both_feet,both_feet,0.6335540838852097,0.6490066225165563,0.015452538631346546
42,pz,left_fist,left_fist,0.6851441241685144,0.5698447893569845,-0.11529933481152999
42,pz,left_fist,right_fist,0.04212860310421286,0.03547671840354767,-0.006651884700665189
42,pz,left_fist,both_fists,0.12416851441241686,0.14855875831485588,0.02439024390243902
42,pz,left_fist,both_feet,0.14855875831485588,0.24611973392461198,0.0975609756097561
42,pz,right_fist,left_fist,0.10467706013363029,0.060133630289532294,-0.044543429844097995
42,pz,right_fist,right_fist,0.5701559020044543,0.5478841870824054,-0.022271714922048935
42,pz,right_fist,both_fists,0.1447661469933185,0.11358574610244988,-0.031180400890868612
42,pz,right_fist,both_feet,0.18040089086859687,0.27839643652561247,0.0979955456570156
42,pz,both_fists,left_fist,0.17777777777777778,0.09777777777777778,-0.08
42,pz,both_fists,right_fist,0.13333333333333333,0.12,-0.013333333333333336
42,pz,both_fists,both_fists,0.46444444444444444,0.38,-0.08444444444444443
